대주제,중주제,소주제,세부 내용
AI & 기계학습 방법론,선형회귀(Linear Regression) 개요,개념,입력 변수와 출력 변수 사이의 관계를 직선 형태로 근사하여 예측하는 통계적 방법이다
AI & 기계학습 방법론,선형회귀(Linear Regression) 개요,개념,지도 학습의 가장 기초가 되는 접근법 중 하나이다
AI & 기계학습 방법론,선형회귀(Linear Regression) 개요,목표,입력 변수와 출력 변수 간의 선형 관계를 찾고, 이를 통해 예측 및 해석을 수행하는 것
AI & 기계학습 방법론,선형회귀(Linear Regression) 개요,학습 목표,선형회귀의 핵심 개념 이해 (입력-출력 선형 관계, 단순선형회귀)
AI & 기계학습 방법론,선형회귀(Linear Regression) 개요,학습 목표,모델 적합: 잔차제곱합(RSS)과 최소 제곱 이해
AI & 기계학습 방법론,선형회귀(Linear Regression) 개요,학습 목표,다중선형회귀로 확장 학습 방법 이해
AI & 기계학습 방법론,선형회귀(Linear Regression) 개요,응용 예시,광고비와 매출 관계 분석
AI & 기계학습 방법론,선형회귀(Linear Regression) 개요,응용 예시,고객 소득, 소비 패턴을 활용한 신용 점수 산출
AI & 기계학습 방법론,단순선형회귀 (Simple Linear Regression),정의,한 개의 설명 변수($X$)와 하나의 반응 변수($Y$) 사이의 선형 관계(직선)를 찾는 방법
AI & 기계학습 방법론,단순선형회귀 (Simple Linear Regression),모델 가정, $Y = \beta_0 + \beta_1 X + \epsilon$
AI & 기계학습 방법론,단순선형회귀 (Simple Linear Regression),계수 의미 ($\beta_0$),절편: $X=0$일 때 $Y$ 값
AI & 기계학습 방법론,단순선형회귀 (Simple Linear Regression),계수 의미 ($\beta_1$),기울기: $X$가 1단위 증가할 때 $Y$의 평균 증가량
AI & 기계학습 방법론,단순선형회귀 (Simple Linear Regression),계수 의미 ($\epsilon$),관측 오차 (측정 오차)
AI & 기계학습 방법론,단순선형회귀 (Simple Linear Regression),최소제곱법 (Least Squares),실제 관측값과 예측값의 차이(잔차, residual)를 제곱해 합한 값(RSS, 잔차제곱합)을 최소화하는 방법
AI & 기계학습 방법론,단순선형회귀 (Simple Linear Regression),잔차(Residual) 정의,실제값($y_i$) - 예측값($\hat{y}_i$)의 차이 ($e_i = y_i - \hat{y}_i$)
AI & 기계학습 방법론,단순선형회귀 (Simple Linear Regression),잔차 역할,모델이 설명하지 못한 부분이며, 모델 적합도를 판단하는 지표
AI & 기계학습 방법론,단순선형회귀 (Simple Linear Regression),최소제곱법 해,정규방정식(closed-form)이 존재하여 공식으로 바로 계산할 수 있다
AI & 기계학습 방법론,단순선형회귀 (Simple Linear Regression),광고 데이터 해석 ($\hat{\beta}_1$),TV 광고비를 1단위(1백만 원) 늘리면 평균 매출이 약 0.0475단위(백만 원) 증가 (약 4.72만 원 증가)
AI & 기계학습 방법론,단순선형회귀 (Simple Linear Regression),광고 데이터 해석 ($R^2$),결정계수 $R^2=0.612$ (판매량 변동의 약 61%를 광고비로 설명 가능)
AI & 기계학습 방법론,다중선형회귀 (Multiple Linear Regression),개념,독립 변수(설명 변수, Feature)가 여러 개 존재할 때 사용하는 회귀 분석 기법
AI & 기계학습 방법론,다중선형회귀 (Multiple Linear Regression),모델, $Y = \beta_0 + \beta_1 X_1 + \beta_2 X_2 + \dots + \beta_p X_p + \epsilon$
AI & 기계학습 방법론,다중선형회귀 (Multiple Linear Regression),계수 해석,다른 변수를 고정한 채 특정 $X_j$가 1단위 증가할 때 $Y$가 평균적으로 $\beta_j$만큼 변화
AI & 기계학습 방법론,다중선형회귀 (Multiple Linear Regression),추정 방법,잔차제곱합(RSS)을 최소화하는 계수 $\hat{\beta}_0, \hat{\beta}_1, \dots, \hat{\beta}_p$를 찾는다
AI & 기계학습 방법론,다중선형회귀 (Multiple Linear Regression),추정 결과,데이터와 가장 가까운 평면(hyperplane)으로 표현된다
AI & 기계학습 방법론,다중선형회귀 (Multiple Linear Regression),변수 추가 장점,더 많은 정보를 고려하여 설명력이 향상될 수 있다
AI & 기계학습 방법론,다중선형회귀 (Multiple Linear Regression),변수 추가 단점,불필요한 변수를 넣으면 과적합 위험이 커지고 해석이 복잡해진다
AI & 기계학습 방법론,다중선형회귀 (Multiple Linear Regression),성능 평가 지표,결정계수 $R^2$와 잔차표준오차 RSE가 있다
AI & 기계학습 방법론,다중선형회귀 (Multiple Linear Regression),광고 데이터 해석 (신문),신문 광고비는 통계적으로 유의미하지 않음 (p-value = 0.8599 > 0.05)
