대분류,중분류,소분류,설명
텍스트 파운데이션 모델 살펴보기,텍스트 파운데이션 모델(LLM)이란?,정의,"대량의 데이터를 기반으로 사전 학습되며, 다양한 작업에 범용적으로 활용 가능한 기초(foundation) 역할을 하는 대규모 AI 모델"
텍스트 파운데이션 모델 살펴보기,텍스트 파운데이션 모델(LLM)이란?,3가지 구성요소 (1) 빅데이터,"인터넷에 존재하는 데이터 수가 기하급수적으로 증가하며 (예: 2025년 175 ZB 예상), 딥러닝 기반 AI 모델의 성능이 학습 데이터량에 비례하여 증가함"
텍스트 파운데이션 모델 살펴보기,텍스트 파운데이션 모델(LLM)이란?,3가지 구성요소 (2) 자기 학습 알고리즘,"사람이 정답을 알려줄 필요 없이 학습하며, 예시로 '다음 토큰 예측(Next token prediction)'을 통해 텍스트 데이터로부터 학습 데이터를 생성함 (Self-supervised Learning)"
텍스트 파운데이션 모델 살펴보기,텍스트 파운데이션 모델(LLM)이란?,3가지 구성요소 (3) 어텐션 기반 트랜스포머 모델,"더 많은 데이터를 학습할 수 있는 인공신경망 구조이며, 어텐션 메커니즘을 기반으로 함"
텍스트 파운데이션 모델 살펴보기,텍스트 파운데이션 모델(LLM)이란?,특징 (1) 규모의 법칙 (Scaling Law),"더 많은 데이터, 더 큰 모델, 긴 학습을 통해 더 좋은 성능을 얻을 수 있음"
텍스트 파운데이션 모델 살펴보기,텍스트 파운데이션 모델(LLM)이란?,특징 (2) 창발성 (Emergent Property),"특정 모델 규모를 넘어서면 모델에서 갑자기 발현되는 능력으로, 인-컨텍스트 학습(In-context Learning)이나 추론(Reasoning) 능력 등이 이에 해당함"
텍스트 파운데이션 모델 살펴보기,거대 언어 모델 예시,폐쇄형 (Closed) 모델,"OpenAI(ChatGPT), Anthropic(Claude), Google(Gemini) 등이 있으며, 일반적으로 우수한 성능과 최신 지식을 제공하지만, 사용 시 비용이 발생하고 출력 정보가 제한적일 수 있음"
텍스트 파운데이션 모델 살펴보기,거대 언어 모델 예시,개방형 (Open sourced) 모델,"Meta(LLaMA), Google(Gemma), Alibaba(Qwen) 등이 있으며, 무료 다운로드 및 사용이 가능하고 모델 구조/소스코드가 공개되어 있지만, 충분한 계산 자원이 필요하고 폐쇄형 모델 대비 성능이 낮을 수 있음"
거대 언어 모델의 학습,GPT-3: 거대 언어 모델의 시초,배경,"1750억 개의 매개변수를 가진 가장 큰 버전의 모델로, 기존 언어 모델 대비 최소 10배 이상 큼"
거대 언어 모델의 학습,GPT-3: 거대 언어 모델의 시초,능력,"본격적으로 인-컨텍스트 학습 능력이 나타나기 시작한 모델"
거대 언어 모델의 학습,정렬 (Alignment) 학습,정의,"거대 언어 모델의 출력이 사용자의 의도와 가치를 반영하도록 하는 것"
거대 언어 모델의 학습,정렬 (Alignment) 학습,2-1. 지시 학습 (Instruction Tuning),"주어진 지시에 대해 어떤 응답을 생성해야 하는지 학습하는 과정으로, 지도 학습(Supervised Fine-Tuning, SFT)과 동일하며, FLAN/T0 모델 등에서 파운데이션 모델을 다양한 지시 기반 입력으로 추가 학습시킴"
